"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
231,74,76,81,0,"Base"
229,73,75,81,0,"Base"
236,76,84,76,0,"Base"
225,70,74,81,0,"Base"
245,70,91,84,1,"Base"
228,73,74,81,0,"Base"
245,75,91,79,1,"Base"
239,75,87,77,0,"Base"
233,75,79,79,0,"Base"
242,75,91,76,1,"Base"
229,75,75,79,0,"Base"
235,75,81,79,0,"Base"
234,73,77,84,0,"Base"
232,79,74,79,0,"Base"
229,74,79,76,0,"Base"
240,77,84,79,0,"Base"
237,76,84,77,1,"Base"
226,74,76,76,0,"Base"
235,73,81,81,0,"Base"
235,72,84,79,0,"Base"
241,79,81,81,1,"Base"
228,75,72,81,0,"Base"
226,71,74,81,0,"Base"
226,74,75,77,0,"Base"
232,74,74,84,0,"Base"
232,77,76,79,0,"Base"
228,75,74,79,0,"Base"
222,68,73,81,0,"Base"
230,73,84,73,0,"Base"
245,79,87,79,1,"Base"
223,70,74,79,0,"Base"
227,72,81,74,0,"Base"
227,74,74,79,0,"Base"
235,77,79,79,0,"Base"
227,72,76,79,0,"Base"
229,73,75,81,0,"Base"
228,74,77,77,0,"Base"
230,75,76,79,0,"Base"
228,75,79,74,0,"Base"
222,70,75,77,0,"Base"
231,72,75,84,0,"Base"
240,75,84,81,1,"Base"
234,74,81,79,0,"Base"
222,70,77,75,0,"Base"
224,72,76,76,0,"Base"
223,70,76,77,0,"Base"
237,72,91,74,0,"Base"
232,72,81,79,0,"Base"
226,71,74,81,0,"Base"
225,73,76,76,0,"Base"
235,77,79,79,0,"Base"
234,74,81,79,0,"Base"
234,74,79,81,0,"Base"
223,73,74,76,0,"Base"
227,73,77,77,0,"Base"
218,66,77,75,0,"Base"
246,74,91,81,1,"Base"
242,79,87,76,1,"Base"
225,73,75,77,0,"Base"
227,76,74,77,0,"Base"
241,77,87,77,0,"Base"
229,71,79,79,0,"Base"
230,76,77,77,0,"Base"
250,74,95,81,1,"Base"
231,73,79,79,0,"Base"
235,76,75,84,0,"Base"
223,71,75,77,0,"Base"
222,69,76,77,0,"Base"
225,76,75,74,0,"Base"
240,72,81,87,1,"Base"
231,79,75,77,0,"Base"
238,73,91,74,0,"Base"
239,79,81,79,1,"Base"
226,76,74,76,0,"Base"
238,75,84,79,0,"Base"
228,73,76,79,0,"Base"
242,77,84,81,0,"Base"
223,73,74,76,0,"Base"
227,72,74,81,0,"Base"
243,75,87,81,0,"Base"
219,68,76,75,0,"Base"
244,76,87,81,1,"Base"
235,72,87,76,0,"Base"
228,70,81,77,0,"Base"
239,79,79,81,0,"Base"
229,72,81,76,0,"Base"
242,76,87,79,1,"Base"
234,71,84,79,0,"Base"
234,81,74,79,0,"Base"
223,68,74,81,0,"Base"
228,72,79,77,0,"Base"
243,73,91,79,1,"Base"
234,74,84,76,0,"Base"
226,71,76,79,0,"Base"
225,76,73,76,0,"Base"
237,79,79,79,0,"Base"
226,73,76,77,0,"Base"
228,73,76,79,0,"Base"
225,73,75,77,0,"Base"
241,71,91,79,0,"Base"
227,75,76,76,0,"Base"
235,77,77,81,0,"Base"
237,72,84,81,1,"Base"
241,73,91,77,1,"Base"
237,84,74,79,1,"Base"
239,67,91,81,0,"Base"
231,76,76,79,0,"Base"
233,79,75,79,0,"Base"
219,70,72,77,0,"Base"
224,73,77,74,0,"Base"
228,75,76,77,0,"Base"
229,74,74,81,0,"Base"
236,68,91,77,0,"Base"
238,76,81,81,1,"Base"
237,75,81,81,1,"Base"
238,72,87,79,0,"Base"
237,77,79,81,0,"Base"
221,72,74,75,0,"Base"
224,72,76,76,0,"Base"
220,68,76,76,0,"Base"
236,68,84,84,0,"Base"
228,75,74,79,0,"Base"
225,74,76,75,0,"Base"
227,72,76,79,0,"Base"
244,72,91,81,1,"Base"
234,74,79,81,0,"Base"
229,76,76,77,0,"Base"
235,70,84,81,0,"Base"
227,72,79,76,0,"Base"
235,72,76,87,0,"Base"
222,71,72,79,0,"Base"
222,71,74,77,0,"Base"
231,71,76,84,0,"Base"
243,77,87,79,1,"Base"
238,75,84,79,0,"Base"
240,77,79,84,1,"Base"
218,68,75,75,0,"Base"
235,75,81,79,0,"Base"
256,74,87,95,1,"Base"
229,74,76,79,0,"Base"
248,72,95,81,1,"Base"
225,72,77,76,0,"Base"
230,74,75,81,0,"Base"
242,87,76,79,1,"Base"
230,74,75,81,0,"Base"
233,74,75,84,0,"Base"
250,76,95,79,1,"Base"
227,73,77,77,0,"Base"
233,75,79,79,0,"Base"
228,73,76,79,0,"Base"
236,73,87,76,0,"Base"
236,71,81,84,0,"Base"
249,84,81,84,1,"Base"
244,81,84,79,1,"Base"
238,75,87,76,0,"Base"
224,68,77,79,0,"Base"
229,73,81,75,0,"Base"
235,73,81,81,0,"Base"
235,75,84,76,0,"Base"
231,75,81,75,0,"Base"
238,75,79,84,0,"Base"
234,77,76,81,0,"Base"
237,72,84,81,0,"Base"
226,71,79,76,0,"Base"
235,74,84,77,0,"Base"
231,74,76,81,0,"Base"
239,73,87,79,1,"Base"
238,72,87,79,0,"Base"
232,75,76,81,0,"Base"
231,71,79,81,0,"Base"
232,81,75,76,0,"Base"
