"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
235,75,84,76,1,"Stacked Mixed"
233,77,75,81,0,"Stacked Mixed"
228,73,74,81,0,"Stacked Mixed"
227,76,74,77,0,"Stacked Mixed"
238,76,81,81,1,"Stacked Mixed"
227,74,76,77,0,"Stacked Mixed"
230,76,73,81,0,"Stacked Mixed"
229,81,74,74,0,"Stacked Mixed"
235,75,73,87,0,"Stacked Mixed"
242,76,87,79,1,"Stacked Mixed"
239,79,81,79,1,"Stacked Mixed"
236,84,77,75,0,"Stacked Mixed"
225,74,75,76,0,"Stacked Mixed"
231,76,76,79,0,"Stacked Mixed"
221,68,79,74,0,"Stacked Mixed"
238,84,77,77,0,"Stacked Mixed"
224,75,76,73,0,"Stacked Mixed"
237,79,77,81,0,"Stacked Mixed"
227,71,79,77,0,"Stacked Mixed"
233,75,77,81,0,"Stacked Mixed"
242,74,87,81,1,"Stacked Mixed"
227,76,74,77,0,"Stacked Mixed"
250,84,87,79,1,"Stacked Mixed"
228,77,75,76,0,"Stacked Mixed"
252,81,95,76,1,"Stacked Mixed"
227,75,76,76,0,"Stacked Mixed"
238,74,87,77,0,"Stacked Mixed"
224,73,74,77,0,"Stacked Mixed"
242,76,79,87,1,"Stacked Mixed"
236,74,87,75,1,"Stacked Mixed"
245,75,91,79,1,"Stacked Mixed"
230,77,76,77,0,"Stacked Mixed"
236,71,84,81,0,"Stacked Mixed"
244,81,84,79,1,"Stacked Mixed"
232,75,76,81,0,"Stacked Mixed"
225,72,74,79,0,"Stacked Mixed"
228,75,77,76,0,"Stacked Mixed"
233,79,75,79,0,"Stacked Mixed"
230,77,76,77,0,"Stacked Mixed"
222,76,73,73,0,"Stacked Mixed"
229,72,81,76,0,"Stacked Mixed"
230,75,76,79,0,"Stacked Mixed"
226,72,75,79,0,"Stacked Mixed"
231,73,79,79,0,"Stacked Mixed"
225,68,81,76,0,"Stacked Mixed"
231,79,77,75,0,"Stacked Mixed"
232,74,79,79,0,"Stacked Mixed"
232,74,81,77,0,"Stacked Mixed"
232,79,77,76,0,"Stacked Mixed"
230,75,79,76,0,"Stacked Mixed"
239,81,81,77,1,"Stacked Mixed"
226,77,76,73,0,"Stacked Mixed"
226,72,75,79,0,"Stacked Mixed"
228,74,75,79,0,"Stacked Mixed"
225,71,73,81,0,"Stacked Mixed"
233,75,81,77,0,"Stacked Mixed"
227,77,74,76,0,"Stacked Mixed"
228,76,73,79,0,"Stacked Mixed"
236,72,87,77,1,"Stacked Mixed"
230,76,73,81,1,"Stacked Mixed"
256,77,95,84,1,"Stacked Mixed"
240,76,87,77,1,"Stacked Mixed"
227,77,74,76,0,"Stacked Mixed"
