"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
231,68,84,79,0,"Superstacked Opens/Womens"
226,67,75,84,0,"Superstacked Opens/Womens"
236,65,84,87,0,"Superstacked Opens/Womens"
241,73,87,81,0,"Superstacked Opens/Womens"
227,71,77,79,0,"Superstacked Opens/Womens"
228,68,79,81,0,"Superstacked Opens/Womens"
234,71,76,87,0,"Superstacked Opens/Womens"
256,70,95,91,1,"Superstacked Opens/Womens"
243,67,95,81,1,"Superstacked Opens/Womens"
245,67,91,87,1,"Superstacked Opens/Womens"
225,67,79,79,0,"Superstacked Opens/Womens"
234,71,87,76,0,"Superstacked Opens/Womens"
226,68,79,79,0,"Superstacked Opens/Womens"
233,68,84,81,0,"Superstacked Opens/Womens"
236,68,91,77,1,"Superstacked Opens/Womens"
231,68,84,79,0,"Superstacked Opens/Womens"
230,67,84,79,0,"Superstacked Opens/Womens"
226,68,79,79,0,"Superstacked Opens/Womens"
234,73,77,84,0,"Superstacked Opens/Womens"
238,68,79,91,1,"Superstacked Opens/Womens"
254,73,100,81,1,"Superstacked Opens/Womens"
239,68,87,84,1,"Superstacked Opens/Womens"
222,67,76,79,0,"Superstacked Opens/Womens"
233,70,84,79,0,"Superstacked Opens/Womens"
260,74,95,91,1,"Superstacked Opens/Womens"
227,70,76,81,0,"Superstacked Opens/Womens"
245,66,95,84,1,"Superstacked Opens/Womens"
243,69,95,79,1,"Superstacked Opens/Womens"
248,72,95,81,1,"Superstacked Opens/Womens"
239,68,87,84,0,"Superstacked Opens/Womens"
237,72,84,81,0,"Superstacked Opens/Womens"
233,68,84,81,0,"Superstacked Opens/Womens"
238,68,91,79,0,"Superstacked Opens/Womens"
239,69,91,79,0,"Superstacked Opens/Womens"
225,70,76,79,0,"Superstacked Opens/Womens"
225,73,76,76,0,"Superstacked Opens/Womens"
247,68,95,84,1,"Superstacked Opens/Womens"
238,68,91,79,1,"Superstacked Opens/Womens"
246,67,95,84,1,"Superstacked Opens/Womens"
247,68,95,84,1,"Superstacked Opens/Womens"
223,68,76,79,0,"Superstacked Opens/Womens"
232,66,87,79,0,"Superstacked Opens/Womens"
231,68,84,79,0,"Superstacked Opens/Womens"
229,71,79,79,0,"Superstacked Opens/Womens"
224,66,79,79,0,"Superstacked Opens/Womens"
231,70,77,84,0,"Superstacked Opens/Womens"
232,70,81,81,0,"Superstacked Opens/Womens"
248,69,95,84,1,"Superstacked Opens/Womens"
234,73,77,84,0,"Superstacked Opens/Womens"
227,68,75,84,0,"Superstacked Opens/Womens"
230,69,84,77,0,"Superstacked Opens/Womens"
250,68,95,87,1,"Superstacked Opens/Womens"
245,69,95,81,1,"Superstacked Opens/Womens"
233,68,84,81,0,"Superstacked Opens/Womens"
247,68,95,84,1,"Superstacked Opens/Womens"
236,68,87,81,0,"Superstacked Opens/Womens"
249,68,100,81,1,"Superstacked Opens/Womens"
238,67,87,84,0,"Superstacked Opens/Womens"
247,68,95,84,1,"Superstacked Opens/Womens"
230,67,84,79,0,"Superstacked Opens/Womens"
248,69,95,84,1,"Superstacked Opens/Womens"
250,68,95,87,1,"Superstacked Opens/Womens"
244,68,95,81,1,"Superstacked Opens/Womens"
240,68,91,81,1,"Superstacked Opens/Womens"
220,67,76,77,0,"Superstacked Opens/Womens"
241,65,95,81,1,"Superstacked Opens/Womens"
228,65,76,87,0,"Superstacked Opens/Womens"
248,69,95,84,1,"Superstacked Opens/Womens"
239,68,87,84,0,"Superstacked Opens/Womens"
225,71,75,79,0,"Superstacked Opens/Womens"
249,70,100,79,1,"Superstacked Opens/Womens"
224,66,81,77,0,"Superstacked Opens/Womens"
238,68,79,91,0,"Superstacked Opens/Womens"
227,67,81,79,0,"Superstacked Opens/Womens"
245,73,91,81,1,"Superstacked Opens/Womens"
222,68,75,79,0,"Superstacked Opens/Womens"
227,69,79,79,0,"Superstacked Opens/Womens"
229,68,77,84,0,"Superstacked Opens/Womens"
223,66,76,81,0,"Superstacked Opens/Womens"
234,66,84,84,0,"Superstacked Opens/Womens"
234,71,79,84,0,"Superstacked Opens/Womens"
224,67,76,81,0,"Superstacked Opens/Womens"
228,70,74,84,0,"Superstacked Opens/Womens"
232,67,84,81,0,"Superstacked Opens/Womens"
249,77,81,91,1,"Superstacked Opens/Womens"
237,69,91,77,0,"Superstacked Opens/Womens"
231,66,84,81,0,"Superstacked Opens/Womens"
236,68,84,84,0,"Superstacked Opens/Womens"
248,66,91,91,1,"Superstacked Opens/Womens"
250,75,91,84,1,"Superstacked Opens/Womens"
238,66,91,81,1,"Superstacked Opens/Womens"
233,67,87,79,0,"Superstacked Opens/Womens"
233,67,87,79,0,"Superstacked Opens/Womens"
236,68,84,84,0,"Superstacked Opens/Womens"
230,67,84,79,0,"Superstacked Opens/Womens"
229,67,81,81,0,"Superstacked Opens/Womens"
222,65,76,81,0,"Superstacked Opens/Womens"
241,67,95,79,0,"Superstacked Opens/Womens"
243,71,95,77,1,"Superstacked Opens/Womens"
246,67,95,84,1,"Superstacked Opens/Womens"
238,72,79,87,1,"Superstacked Opens/Womens"
236,68,84,84,1,"Superstacked Opens/Womens"
232,69,84,79,0,"Superstacked Opens/Womens"
245,71,95,79,1,"Superstacked Opens/Womens"
248,73,84,91,1,"Superstacked Opens/Womens"
225,68,76,81,0,"Superstacked Opens/Womens"
226,69,76,81,0,"Superstacked Opens/Womens"
233,67,87,79,0,"Superstacked Opens/Womens"
232,72,76,84,0,"Superstacked Opens/Womens"
236,70,87,79,0,"Superstacked Opens/Womens"
227,69,79,79,0,"Superstacked Opens/Womens"
231,68,84,79,0,"Superstacked Opens/Womens"
239,71,87,81,0,"Superstacked Opens/Womens"
226,66,79,81,0,"Superstacked Opens/Womens"
232,66,87,79,0,"Superstacked Opens/Womens"
229,70,72,87,0,"Superstacked Opens/Womens"
227,65,81,81,0,"Superstacked Opens/Womens"
240,68,91,81,0,"Superstacked Opens/Womens"
