"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
235,79,75,81,0,"Superstacked Mixed"
231,79,77,75,0,"Superstacked Mixed"
237,84,77,76,0,"Superstacked Mixed"
247,95,73,79,1,"Superstacked Mixed"
234,84,74,76,0,"Superstacked Mixed"
220,70,75,75,0,"Superstacked Mixed"
239,87,75,77,0,"Superstacked Mixed"
228,76,75,77,0,"Superstacked Mixed"
236,87,74,75,0,"Superstacked Mixed"
249,81,87,81,1,"Superstacked Mixed"
237,84,74,79,0,"Superstacked Mixed"
246,91,79,76,1,"Superstacked Mixed"
229,75,75,79,0,"Superstacked Mixed"
243,95,74,74,1,"Superstacked Mixed"
240,79,87,74,1,"Superstacked Mixed"
230,79,74,77,0,"Superstacked Mixed"
227,77,73,77,0,"Superstacked Mixed"
237,87,74,76,0,"Superstacked Mixed"
243,84,84,75,1,"Superstacked Mixed"
226,76,74,76,0,"Superstacked Mixed"
234,77,76,81,0,"Superstacked Mixed"
242,91,77,74,1,"Superstacked Mixed"
244,95,72,77,1,"Superstacked Mixed"
229,79,75,75,0,"Superstacked Mixed"
239,81,79,79,0,"Superstacked Mixed"
242,91,76,75,1,"Superstacked Mixed"
238,87,74,77,0,"Superstacked Mixed"
244,91,76,77,1,"Superstacked Mixed"
229,76,77,76,0,"Superstacked Mixed"
242,87,79,76,1,"Superstacked Mixed"
220,70,75,75,0,"Superstacked Mixed"
226,77,75,74,0,"Superstacked Mixed"
242,91,74,77,1,"Superstacked Mixed"
236,87,73,76,0,"Superstacked Mixed"
244,91,77,76,1,"Superstacked Mixed"
233,84,73,76,0,"Superstacked Mixed"
233,81,75,77,0,"Superstacked Mixed"
226,75,74,77,0,"Superstacked Mixed"
228,81,73,74,0,"Superstacked Mixed"
237,81,77,79,0,"Superstacked Mixed"
227,81,72,74,0,"Superstacked Mixed"
236,81,79,76,0,"Superstacked Mixed"
226,79,73,74,0,"Superstacked Mixed"
232,76,77,79,0,"Superstacked Mixed"
239,84,74,81,0,"Superstacked Mixed"
225,76,74,75,0,"Superstacked Mixed"
230,76,77,77,0,"Superstacked Mixed"
243,91,76,76,0,"Superstacked Mixed"
230,79,74,77,0,"Superstacked Mixed"
225,75,74,76,0,"Superstacked Mixed"
232,81,76,75,0,"Superstacked Mixed"
244,95,75,74,1,"Superstacked Mixed"
229,77,75,77,0,"Superstacked Mixed"
230,76,79,75,0,"Superstacked Mixed"
234,79,79,76,0,"Superstacked Mixed"
235,75,79,81,0,"Superstacked Mixed"
230,81,74,75,0,"Superstacked Mixed"
239,81,77,81,1,"Superstacked Mixed"
234,74,87,73,0,"Superstacked Mixed"
231,79,77,75,0,"Superstacked Mixed"
240,84,79,77,0,"Superstacked Mixed"
254,95,75,84,1,"Superstacked Mixed"
238,84,75,79,0,"Superstacked Mixed"
232,72,79,81,0,"Superstacked Mixed"
228,72,77,79,0,"Superstacked Mixed"
223,72,74,77,0,"Superstacked Mixed"
236,84,73,79,0,"Superstacked Mixed"
224,77,73,74,0,"Superstacked Mixed"
230,75,74,81,0,"Superstacked Mixed"
242,91,72,79,1,"Superstacked Mixed"
230,74,79,77,0,"Superstacked Mixed"
250,87,84,79,1,"Superstacked Mixed"
231,76,81,74,0,"Superstacked Mixed"
231,84,74,73,0,"Superstacked Mixed"
246,81,81,84,1,"Superstacked Mixed"
226,72,75,79,0,"Superstacked Mixed"
235,84,75,76,0,"Superstacked Mixed"
225,74,77,74,0,"Superstacked Mixed"
229,79,75,75,0,"Superstacked Mixed"
229,76,77,76,0,"Superstacked Mixed"
233,81,75,77,0,"Superstacked Mixed"
241,87,75,79,1,"Superstacked Mixed"
238,84,77,77,0,"Superstacked Mixed"
226,76,74,76,0,"Superstacked Mixed"
244,91,79,74,1,"Superstacked Mixed"
237,84,79,74,1,"Superstacked Mixed"
247,95,73,79,1,"Superstacked Mixed"
235,87,72,76,0,"Superstacked Mixed"
240,87,76,77,0,"Superstacked Mixed"
242,87,81,74,1,"Superstacked Mixed"
238,84,77,77,1,"Superstacked Mixed"
235,84,77,74,0,"Superstacked Mixed"
235,84,74,77,0,"Superstacked Mixed"
235,81,77,77,1,"Superstacked Mixed"
234,79,79,76,0,"Superstacked Mixed"
230,79,74,77,0,"Superstacked Mixed"
228,73,76,79,0,"Superstacked Mixed"
231,84,74,73,0,"Superstacked Mixed"
234,81,76,77,0,"Superstacked Mixed"
230,81,73,76,0,"Superstacked Mixed"
233,79,75,79,1,"Superstacked Mixed"
234,77,76,81,0,"Superstacked Mixed"
226,74,75,77,0,"Superstacked Mixed"
226,76,75,75,0,"Superstacked Mixed"
236,87,72,77,0,"Superstacked Mixed"
234,84,76,74,0,"Superstacked Mixed"
229,76,76,77,0,"Superstacked Mixed"
223,75,73,75,0,"Superstacked Mixed"
233,79,81,73,0,"Superstacked Mixed"
231,79,75,77,0,"Superstacked Mixed"
230,79,74,77,0,"Superstacked Mixed"
229,76,74,79,0,"Superstacked Mixed"
236,84,73,79,0,"Superstacked Mixed"
231,75,75,81,0,"Superstacked Mixed"
226,77,74,75,0,"Superstacked Mixed"
234,84,75,75,0,"Superstacked Mixed"
234,76,74,84,0,"Superstacked Mixed"
225,77,73,75,0,"Superstacked Mixed"
231,81,75,75,0,"Superstacked Mixed"
239,81,79,79,0,"Superstacked Mixed"
235,81,77,77,0,"Superstacked Mixed"
224,75,74,75,0,"Superstacked Mixed"
242,95,74,73,0,"Superstacked Mixed"
240,87,76,77,1,"Superstacked Mixed"
238,84,75,79,0,"Superstacked Mixed"
236,81,74,81,0,"Superstacked Mixed"
234,84,74,76,1,"Superstacked Mixed"
228,77,75,76,0,"Superstacked Mixed"
241,79,81,81,0,"Superstacked Mixed"
243,91,76,76,1,"Superstacked Mixed"
236,76,81,79,0,"Superstacked Mixed"
231,81,74,76,0,"Superstacked Mixed"
230,79,74,77,0,"Superstacked Mixed"
232,81,75,76,0,"Superstacked Mixed"
227,77,74,76,0,"Superstacked Mixed"
229,76,74,79,0,"Superstacked Mixed"
233,81,77,75,0,"Superstacked Mixed"
238,84,77,77,0,"Superstacked Mixed"
250,95,76,79,1,"Superstacked Mixed"
237,81,77,79,1,"Superstacked Mixed"
242,84,77,81,0,"Superstacked Mixed"
231,79,76,76,0,"Superstacked Mixed"
252,95,81,76,1,"Superstacked Mixed"
228,74,79,75,0,"Superstacked Mixed"
236,76,84,76,0,"Superstacked Mixed"
239,79,79,81,0,"Superstacked Mixed"
230,72,79,79,0,"Superstacked Mixed"
234,84,75,75,0,"Superstacked Mixed"
225,77,74,74,0,"Superstacked Mixed"
235,84,74,77,1,"Superstacked Mixed"
236,91,69,76,0,"Superstacked Mixed"
228,77,77,74,0,"Superstacked Mixed"
230,81,75,74,0,"Superstacked Mixed"
230,74,77,79,0,"Superstacked Mixed"
241,81,79,81,1,"Superstacked Mixed"
238,84,75,79,0,"Superstacked Mixed"
237,87,74,76,1,"Superstacked Mixed"
229,81,74,74,0,"Superstacked Mixed"
232,76,75,81,0,"Superstacked Mixed"
226,79,72,75,0,"Superstacked Mixed"
228,81,72,75,0,"Superstacked Mixed"
234,81,74,79,0,"Superstacked Mixed"
227,76,76,75,0,"Superstacked Mixed"
226,75,76,75,0,"Superstacked Mixed"
236,79,76,81,0,"Superstacked Mixed"
224,75,75,74,0,"Superstacked Mixed"
221,71,75,75,0,"Superstacked Mixed"
233,76,81,76,0,"Superstacked Mixed"
238,76,75,87,0,"Superstacked Mixed"
228,74,73,81,0,"Superstacked Mixed"
229,76,74,79,0,"Superstacked Mixed"
243,91,73,79,1,"Superstacked Mixed"
235,84,75,76,0,"Superstacked Mixed"
237,84,74,79,0,"Superstacked Mixed"
243,87,75,81,1,"Superstacked Mixed"
231,81,73,77,0,"Superstacked Mixed"
231,81,71,79,0,"Superstacked Mixed"
232,77,79,76,0,"Superstacked Mixed"
231,81,73,77,0,"Superstacked Mixed"
229,77,76,76,0,"Superstacked Mixed"
229,81,73,75,0,"Superstacked Mixed"
231,84,72,75,0,"Superstacked Mixed"
248,95,72,81,1,"Superstacked Mixed"
247,91,77,79,1,"Superstacked Mixed"
236,84,75,77,0,"Superstacked Mixed"
230,77,77,76,0,"Superstacked Mixed"
237,81,75,81,0,"Superstacked Mixed"
225,75,74,76,0,"Superstacked Mixed"
231,84,74,73,0,"Superstacked Mixed"
246,95,76,75,1,"Superstacked Mixed"
244,81,79,84,1,"Superstacked Mixed"
229,76,76,77,0,"Superstacked Mixed"
233,76,81,76,0,"Superstacked Mixed"
235,81,73,81,0,"Superstacked Mixed"
234,84,74,76,0,"Superstacked Mixed"
233,84,75,74,0,"Superstacked Mixed"
228,79,74,75,0,"Superstacked Mixed"
241,76,84,81,1,"Superstacked Mixed"
230,76,79,75,0,"Superstacked Mixed"
239,87,76,76,1,"Superstacked Mixed"
230,79,74,77,0,"Superstacked Mixed"
228,75,76,77,0,"Superstacked Mixed"
246,91,74,81,1,"Superstacked Mixed"
227,72,76,79,0,"Superstacked Mixed"
235,81,81,73,0,"Superstacked Mixed"
232,79,76,77,0,"Superstacked Mixed"
234,76,79,79,0,"Superstacked Mixed"
234,81,76,77,0,"Superstacked Mixed"
240,87,76,77,0,"Superstacked Mixed"
245,91,81,73,1,"Superstacked Mixed"
232,81,75,76,0,"Superstacked Mixed"
227,76,76,75,0,"Superstacked Mixed"
234,81,76,77,0,"Superstacked Mixed"
237,81,77,79,0,"Superstacked Mixed"
225,72,74,79,0,"Superstacked Mixed"
235,84,75,76,0,"Superstacked Mixed"
240,84,77,79,0,"Superstacked Mixed"
231,77,79,75,0,"Superstacked Mixed"
230,75,81,74,0,"Superstacked Mixed"
233,84,72,77,0,"Superstacked Mixed"
223,76,73,74,0,"Superstacked Mixed"
